node,lt_mean,lt_std,lt_robust
29825,3.86,16.04276784099302,2.255723215900698
6647,2.265,5.220610596472409,1.7429389403527593
18549,1.83,5.26698205806703,1.3033017941932972
10543,1.725,4.928425204870215,1.2321574795129786
20406,2.415,5.134469300716482,1.9015530699283518
27120,5.115,17.349979106615663,3.3800020893384337
20165,9.38,52.37724315005515,4.142275684994486
19527,4.265,12.148447431667968,3.050155256833203
21365,4.55,15.86024905226901,2.9639750947730987
30170,4.345,31.901034074148754,1.154896592585124
10488,11.64,45.480329814107556,7.091967018589245
10887,6.925,13.583790892088997,5.5666209107911
16362,1.315,0.8920622175610847,1.2257937782438915
17950,3.535,8.478135113337132,2.687186488666287
22250,1.9,2.744084546802448,1.6255915453197551
19091,3.325,18.984977613892518,1.4265022386107482
27060,5.535,27.358340136053577,2.7991659863946423
28283,4.215,25.825157792354343,1.6324842207645656
6359,4.835,5.887934697328087,4.246206530267191
17409,10.64,46.22445673017693,6.0175543269823075
29476,6.26,25.49926273443999,3.7100737265560007
22778,3.475,13.281166176206066,2.1468833823793934
17986,6.735,18.916256897177092,4.843374310282291
18571,2.115,10.64996596238692,1.0500034037613082
18668,1.74,10.36833641429521,0.7031663585704788
14173,2.69,7.80793826819859,1.909206173180141
5787,1.0,0.0,1.0
24913,11.675,45.09711049501952,7.165288950498049
7393,2.68,4.71249403182646,2.208750596817354
7219,5.58,23.61913630935729,3.2180863690642707
24711,6.18,20.84196727758682,4.095803272241318
10443,12.49,53.26077261925516,7.1639227380744845
4768,11.08,32.12714739904556,7.867285260095444
15279,11.595,39.97988212839052,7.597011787160948
18987,1.645,3.948287603506107,1.2501712396493894
9014,1.905,3.3370608325291284,1.5712939167470872
2522,13.27,103.76891201125702,2.893108798874298
11245,3.595,12.10375871372195,2.384624128627805
2737,8.635,38.28252571343746,4.806747428656253
16372,6.915,29.289550611096782,3.9860449388903216
8897,13.915,34.075911946710974,10.507408805328902
340,5.38,25.504227100620007,2.829577289937999
11885,1.0,0.0,1.0
13679,7.34,23.264444975111697,5.013555502488829
8878,4.595,22.680850402928016,2.326914959707198
26119,8.15,53.892276812174124,2.760772318782587
30897,5.825,16.600734170511856,4.164926582948814
17879,13.905,62.193134468363944,7.685686553163604
19651,1.17,1.0349396117648604,1.066506038823514
8017,2.385,8.589922875090322,1.5260077124909674
29553,1.05,0.2783882181415011,1.02216117818585
13042,7.8,24.130893062628246,5.386910693737175
4188,3.16,7.35760830705196,2.424239169294804
20838,3.145,6.01032237072189,2.543967762927811
23396,6.865,28.754943488033494,3.9895056511966507
26853,13.31,37.563198745580756,9.553680125441925
15625,6.05,21.245411269260003,3.925458873073999
17966,4.795,21.781941488306316,2.616805851169368
19509,2.48,11.128324222451466,1.3671675777548533
2817,2.82,3.4492897819696156,2.4750710218030383
32346,6.84,10.208545439973316,5.819145456002668
10283,7.085,32.29222468335063,3.8557775316649368
6442,5.035,13.896898035173175,3.645310196482683
9979,1.725,5.556921359889846,1.1693078640110155
19277,1.04,0.31368774282716244,1.0086312257172838
10096,1.74,9.121534958547272,0.8278465041452727
7101,2.49,15.42983797711434,0.947016202288566
14458,1.855,2.6408284684924164,1.5909171531507584
10306,4.53,32.91320555643282,1.238679444356718
17795,2.13,3.219176913436104,1.8080823086563895
10469,4.985,27.269667673075887,2.2580332326924113
23862,4.87,14.173323534019818,3.452667646598018
7026,3.2,5.7991378669591915,2.6200862133040808
22417,3.32,8.292020260467288,2.490797973953271
29545,1.275,3.392546978304059,0.9357453021695941
19657,2.395,4.624821618181614,1.9325178381818386
25797,3.375,10.765424979999628,2.298457502000037
27255,4.385,9.54393917625212,3.430606082374788
26854,6.215,23.29696922348484,3.885303077651516
21984,2.75,7.447650636274503,2.00523493637255
23084,3.955,22.843663782327038,1.6706336217672964
29840,1.29,1.1339753083731585,1.1766024691626842
20967,3.125,3.21082154595985,2.803917845404015
12078,5.485,18.994993419319734,3.585500658068027
21072,3.02,4.274295263549302,2.5925704736450697
5490,4.65,13.07392442994834,3.3426075570051665
30910,5.59,51.017074592728264,0.48829254072717276
9636,7.165,42.28365848646496,2.9366341513535037
30792,5.805,41.094245035041105,1.6955754964958887
18019,7.2,23.167218218853986,4.883278178114601
15471,5.09,7.97884076793114,4.292115923206886
23764,3.31,9.76185945401797,2.333814054598203
31140,6.29,14.696458757129214,4.820354124287078
17004,1.0,0.0,1.0
11725,3.76,11.170604280879344,2.6429395719120654
30290,4.175,20.469352090381363,2.1280647909618633
17541,5.06,17.785567182409448,3.2814432817590546
14594,3.165,9.758984322151562,2.189101567784844
8374,2.075,6.491484807037601,1.42585151929624
8725,5.22,11.195606281037218,4.100439371896278
18747,1.585,2.795134164937347,1.3054865835062652
15824,2.4,5.364699432400664,1.8635300567599336
5756,5.625,31.08801014860874,2.516198985139126
9829,4.375,13.219469543064124,3.053053045693588
9527,4.145,12.042174845101693,2.94078251548983
16185,10.545,25.3977946877283,8.00522053122717
32614,2.885,7.140852540138327,2.170914745986167
31933,4.64,25.085063284751737,2.131493671524826
20255,1.985,3.513513199064435,1.6336486800935566
29836,17.44,72.00407210706905,10.239592789293095
8970,2.09,3.781785292689156,1.7118214707310841
26805,3.365,10.322876294909284,2.3327123705090718
4715,4.92,6.527909313095579,4.267209068690442
5947,4.61,7.042577653104011,3.9057422346895994
10090,9.275,82.46028968539947,1.0289710314600526
22283,4.735,10.347694187595614,3.700230581240439
30102,2.11,1.5836350589703425,1.9516364941029656
6247,6.245,26.43246063082285,3.601753936917715
15793,2.755,3.9338244749861424,2.361617552501386
13434,5.715,24.360496197737845,3.278950380226215
28371,6.47,22.69777742423253,4.200222257576747
14592,1.875,2.8052406313897564,1.5944759368610244
17020,2.155,6.5628480860065626,1.4987151913993435
18228,5.06,32.46330851900342,1.8136691480996574
794,4.68,12.465857371236043,3.4334142628763953
9539,9.845,49.239831183707366,4.921016881629264
14639,2.0,2.2759613353482084,1.7724038664651791
9133,2.57,10.135832476910814,1.5564167523089185
1068,3.025,6.254148623114101,2.39958513768859
16294,1.275,1.2803808027301877,1.1469619197269811
26337,6.81,36.59704769513519,3.1502952304864804
15022,15.455,77.74681970987623,7.680318029012376
32657,5.645,22.953408788238843,3.3496591211761153
399,7.235,50.91600706064843,2.1433992939351567
22272,7.625,24.986483846271767,5.126351615372823
11765,6.36,48.83493012178885,1.4765069878211152
30684,1.745,3.8742708991499297,1.3575729100850071
8128,3.295,11.430571945445251,2.151942805455475
27777,1.78,2.97516386103354,1.482483613896646
9052,6.19,12.524132704502934,4.937586729549707
20842,3.685,5.2740662680705865,3.1575933731929413
6192,4.44,9.953712875103442,3.4446287124896564
8188,6.265,24.68815049775904,3.7961849502240956
18517,14.54,63.74973254845858,8.16502674515414
13649,11.965,66.31593907199083,5.333406092800917
32679,7.315,41.85469836231053,3.1295301637689477
4681,2.66,8.76723445563081,1.7832765544369191
19621,3.95,19.611667445681405,1.9888332554318595
26385,4.505,15.879545805847219,2.917045419415278
30162,1.09,0.37669616403674727,1.0523303835963254
28817,4.955,30.88208177892158,1.866791822107842
32351,7.515,17.484558187154747,5.766544181284525
16568,9.655,36.95843577588207,5.959156422411792
5381,12.425,45.17581626268639,7.907418373731361
18618,3.18,13.249060344039496,1.8550939655960506
25406,2.67,3.8459199159628894,2.285408008403711
1667,1.27,1.4025334220616634,1.1297466577938338
14975,6.255,31.20448645627741,3.1345513543722587
