node,ic_mean,ic_std,ic_robust
11765,22.16,61.467669550748376,16.013233044925162
30684,13.705,54.0386711069027,8.30113288930973
8128,43.87,89.38413226070944,34.931586773929055
27777,17.055,58.22664317131805,11.232335682868193
9052,8.06,40.82984692599275,3.977015307400726
20842,14.32,52.105350972812765,9.109464902718724
6192,14.835,53.41804727805014,9.493195272194987
8188,38.31,84.83338906350494,29.826661093649506
18517,17.635,63.22540450641657,11.312459549358344
13649,53.715,98.18683096525724,43.89631690347428
32679,22.63,66.36499905823852,15.993500094176145
4681,3.76,24.129699542265335,1.347030045773466
19621,17.3,60.610477642071096,11.23895223579289
26385,10.6,42.585208699735176,6.341479130026482
30162,3.88,26.774532675660286,1.2025467324339711
28817,28.53,79.1835153298968,20.61164846701032
32351,18.37,59.54169211569319,12.415830788430682
16568,14.75,52.70595317419087,9.479404682580913
5381,22.635,68.45035993331226,15.789964006668775
18618,22.27,70.33261761089231,15.236738238910768
25406,34.315,76.94410812401428,26.62058918759857
1667,19.28,61.074312112376674,13.172568788762334
14975,3.825,21.544474349586718,1.6705525650413282
13096,30.15,77.15333758172747,22.43466624182725
20631,35.715,86.39261412296771,27.07573858770323
18757,26.635,78.2812990119607,18.80687009880393
25723,21.94,66.71646273596944,15.268353726403056
7938,40.75,88.84805850439277,31.865194149560722
20662,8.875,40.47096953372874,4.827903046627125
31289,5.735,29.51550058867374,2.783449941132626
25984,19.045,62.74083976964287,12.770916023035713
17919,21.805,68.1125317030574,14.99374682969426
26155,40.92,88.8607539918495,32.03392460081505
17005,42.87,91.33609965397034,33.73639003460296
32747,40.975,93.20431521662503,31.654568478337495
14804,44.315,88.67877860570701,35.4471221394293
17025,9.38,43.68175362780208,5.011824637219792
26705,21.76,63.7889676981843,15.381103230181571
27133,8.315,40.01644380751493,4.313355619248506
23039,28.695,77.0397428279716,20.99102571720284
12415,13.77,52.42239120833768,8.52776087916623
22192,38.36,81.54428490090523,30.205571509909475
23562,22.15,67.27419639059244,15.422580360940755
31734,36.015,86.64637773732957,27.350362226267045
31415,29.575,75.09330446184934,22.065669553815063
5487,7.535,37.46997164397112,3.788002835602888
7963,8.175,43.57641994244134,3.8173580057558665
13731,39.045,85.26900360037051,30.518099639962948
9313,59.19,97.70800325459528,49.419199674540465
15311,54.235,95.80944512416298,44.654055487583705
26850,51.25,95.3335591489167,41.71664408510833
11547,5.765,30.961100997865046,2.668889900213495
32207,61.895,100.29254197097609,51.865745802902396
32213,55.45,103.13242700528288,45.13675729947171
22566,22.305,63.6616994353748,15.93883005646252
11147,50.04,97.28663011945682,40.311336988054315
939,27.89,73.04456105693292,20.58554389430671
10451,73.19,103.37632175696716,62.85236782430328
18195,3.595,23.2097172537711,1.2740282746228901
5839,67.12,105.25353010707052,56.594646989292954
6083,59.12,102.29817007160977,48.890182992839016
29782,58.23,97.26590923854052,48.50340907614594
12444,3.3,22.67156809750926,1.0328431902490736
12494,28.47,75.03565219280766,20.966434780719233
20046,58.505,94.46406711019804,49.0585932889802
23378,91.62,109.27532017797981,80.69246798220202
15217,38.59,87.8139618739526,29.808603812604744
15777,64.9,105.95376350087807,54.3046236499122
27100,64.01,102.29784895099213,53.78021510490079
22670,58.005,95.6197938452076,48.44302061547924
25850,60.62,101.7999292730599,50.44000707269401
19707,39.175,85.08656988620471,30.666343011379524
12201,10.93,46.313552012342996,6.2986447987657
17205,47.065,94.87360420580636,37.57763957941936
9664,50.75,95.56242723999846,41.193757276000156
9908,47.78,92.26744604680461,38.55325539531954
20167,29.025,75.19517521091363,21.505482478908636
27108,53.44,96.04210743210501,43.8357892567895
9840,35.315,81.76867233237923,27.138132766762077
17022,52.105,98.85380101442736,42.21961989855726
26565,11.09,44.72428758515892,6.617571241484108
25415,37.16,87.12045913561293,28.447954086438703
10105,54.19,99.88645503770769,44.20135449622923
5638,10.16,45.645748980600594,5.595425101939941
4364,16.78,57.304027781649,11.0495972218351
10821,27.075,71.19163837839385,19.955836162160615
18516,66.69,104.77200914366395,56.212799085633606
18013,36.545,81.30318551569798,28.4146814484302
21264,35.93,81.65369005746157,27.764630994253842
10409,16.265,58.38822462620353,10.426177537379647
20726,50.76,97.22279773797914,41.03772022620208
5956,36.525,84.58451025453775,28.066548974546222
13345,68.83,101.82068110163083,58.64793188983691
11780,60.405,98.95267037831775,50.50973296216823
11321,65.38,104.56173104917497,54.9238268950825
13286,71.2,106.60905214849254,60.53909478515075
5208,22.035,66.46957029348091,15.38804297065191
14616,49.5,93.8655421334155,40.113445786658446
13278,20.1,63.215583521786776,13.778441647821325
22421,10.185,44.851541500822464,5.699845849917754
32746,43.09,93.2603983478518,33.763960165214826
23388,55.895,94.45535440090202,46.4494645599098
19649,28.975,74.89442152123213,21.485557847876787
29426,46.905,93.92766352358606,37.512233647641395
9175,2.275,13.361488502408704,0.9388511497591294
7190,45.1,86.14302061107446,36.48569793889256
19691,57.655,98.7589285836982,47.77910714163018
9876,28.135,74.4173150214384,20.69326849785616
8173,59.69,101.79992092334847,49.51000790766515
17773,16.83,62.94419035939696,10.535580964060301
10421,32.26,79.66035651439178,24.29396434856082
23159,21.5,64.34391968166068,15.065608031833932
24912,56.93,98.12234760746402,47.1177652392536
18176,53.385,97.36645610784035,43.64835438921596
