node,degree,betweenness,closeness,eigenvector,pagerank,clustering
15245,0.0022,6.727862439913201e-08,0.0009012615859320672,0.00681595945866369,0.00019342314454505872,0.5111111111111111
15246,0.0058000000000000005,0.0,0.0025075212596070706,0.0300337981439464,0.0008856707034649078,0.36615384615384616
15250,0.003,2.935716908608304e-06,0.0014026646419362798,0.006784098976365449,0.0019257178808782536,0.22857142857142856
15251,0.0108,2.8197037265796776e-06,0.004623575890008391,0.03153063331049198,0.004204596189785776,0.28862164662349676
15254,0.004600000000000001,1.0435319925676595e-06,0.0020050116869441137,0.022052695111061615,0.00023797500010345118,0.3761904761904762
15279,0.005000000000000001,3.109913756212979e-07,0.0020050116869441137,0.009639693080204806,0.00038848926064215434,0.3380952380952381
15290,0.0176,7.145271601959356e-05,0.007357376646748959,0.04790687610758289,0.001871152324827406,0.21584598296927063
15291,0.0086,1.8109354757190227e-05,0.004219829569195754,0.02815402756102248,0.0021886370418579097,0.22812846068660023
15293,0.0018,0.0,0.0009012615859320672,0.007669632044450704,0.0,0.4888888888888889
15297,0.003,1.7932315241385873e-06,0.0010015020326745727,0.0044431140748332695,0.0003776162061108155,0.32727272727272727
15299,0.006200000000000001,6.248645205379557e-06,0.0024069790354728227,0.020657168417312393,0.0007214996016253703,0.27
15302,0.0048000000000000004,0.0,0.0020050116869441137,0.02639821249662892,0.0003180934931207621,0.38571428571428573
15304,0.0014,0.0,0.0005005004403684232,0.0034666342458941676,0.00011819299539647904,0.4666666666666667
15305,0.004600000000000001,5.621968113767731e-07,0.0020050116869441137,0.02529289441869371,0.00013813096239886566,0.44761904761904764
15307,0.0064,2.7664223128958283e-06,0.0027086662147308704,0.02645661441378352,0.0002330842251745917,0.3835978835978836
15308,0.0014,0.0,0.0007008408969193525,0.009294475000845133,7.7878945657638e-05,0.6071428571428571
15310,0.0094,1.4334407449663163e-05,0.00381640757517987,0.023706409769599247,0.001499710014177352,0.3144399460188934
15311,0.0088,0.0,0.003614818078621962,0.01966024313688922,0.0009650397321977617,0.2072072072072072
15337,0.004000000000000001,3.4776936948273585e-06,0.0020050116869441137,0.015545928846895544,0.0,0.3619047619047619
15340,0.0022,1.822014888169486e-07,0.0010015020326745727,0.013040306259884338,0.0013828470206153558,0.5272727272727272
15349,0.0164,1.9106075377855257e-05,0.006343125130060079,0.049058102363929434,0.002146006722706564,0.3005952380952381
15353,0.0006000000000000001,0.0,0.00020014008604940514,0.0007435879365931819,3.818315763571092e-05,0.6666666666666666
15357,0.0004000000000000001,0.0,0.00020014008604940514,0.0035715244246648323,0.0,0.6666666666666666
