src,dst,probability
19,2694,0.011494252873563218
19,832,0.005050505050505051
19,7898,0.00847457627118644
19,12665,0.015625
19,550,0.007575757575757576
19,71,0.002531645569620253
19,554,0.004672897196261682
19,4433,0.009345794392523364
19,223,0.004464285714285714
19,3847,0.004366812227074236
19,2799,0.02631578947368421
19,2700,0.006060606060606061
19,327,0.001557632398753894
19,3158,0.005434782608695652
19,1896,0.005
19,50853,0.06666666666666667
19,330,0.0027624309392265192
19,70865,0.2
19,7961,0.023255813953488372
26,24,0.02040816326530612
26,2,0.0045871559633027525
26,27,0.0028089887640449437
26,99,0.007874015748031496
26,360,0.012658227848101266
26,31,0.007352941176470588
26,77,0.0070921985815602835
26,32,0.003067484662576687
26,362,0.015625
26,138,0.0013605442176870747
26,365,0.004608294930875576
26,34,0.003952569169960474
26,291,0.0037735849056603774
26,367,0.007936507936507936
26,368,0.023255813953488372
26,369,0.002840909090909091
26,370,0.001876172607879925
26,206,0.0010121457489878543
26,5,0.005405405405405406
26,371,0.043478260869565216
26,372,0.016129032258064516
26,373,0.004291845493562232
26,374,0.008928571428571428
26,375,0.023255813953488372
26,376,0.005405405405405406
26,378,0.004608294930875576
26,379,0.02702702702702703
26,8,0.0012547051442910915
26,381,0.010752688172043012
26,383,0.00130718954248366
26,385,0.007462686567164179
26,80,0.003952569169960474
26,386,0.02631578947368421
26,387,0.010101010101010102
26,389,0.00847457627118644
26,335,0.0018083182640144665
26,393,0.007575757575757576
26,349,0.002403846153846154
26,394,0.018518518518518517
26,396,0.001483679525222552
26,43,0.002398081534772182
26,398,0.03571428571428571
26,44,0.003076923076923077
26,400,0.0035971223021582736
26,81,0.0022675736961451248
26,301,0.0010741138560687433
26,402,0.005649717514124294
26,403,0.0036101083032490976
26,404,0.0196078431372549
26,407,0.001394700139470014
26,408,0.0016556291390728477
26,409,0.010416666666666666
26,413,0.07692307692307693
26,416,0.08333333333333333
26,417,0.012987012987012988
26,47,0.010638297872340425
26,418,0.004807692307692308
26,419,0.007462686567164179
26,421,0.014925373134328358
26,422,0.005208333333333333
26,424,0.017857142857142856
26,428,0.016129032258064516
26,188,0.0026666666666666666
26,429,0.023809523809523808
26,253,0.004347826086956522
26,431,0.003875968992248062
26,51,0.006944444444444444
26,432,0.010309278350515464
26,434,0.005405405405405406
26,52,0.004048582995951417
26,439,0.005208333333333333
26,450,0.06666666666666667
26,451,0.006944444444444444
26,339,0.004366812227074236
26,452,0.012987012987012988
26,211,0.0024937655860349127
26,454,0.004784688995215311
26,456,0.004901960784313725
26,459,0.0018656716417910447
26,461,0.0036496350364963502
26,463,0.0037313432835820895
26,465,0.002421307506053269
26,88,0.001451378809869376
26,468,0.004761904761904762
26,308,0.00423728813559322
26,471,0.013157894736842105
26,473,0.007751937984496124
26,474,0.014285714285714285
26,476,0.03125
26,480,0.008130081300813009
26,63,0.004219409282700422
26,484,0.006896551724137931
26,485,0.006896551724137931
26,489,0.0022988505747126436
26,490,0.02564102564102564
26,491,0.018867924528301886
26,492,0.004219409282700422
26,498,0.015873015873015872
26,500,0.017543859649122806
26,501,0.011111111111111112
26,502,0.0033333333333333335
26,352,0.0016501650165016502
26,503,0.0022624434389140274
26,504,0.024390243902439025
26,508,0.01818181818181818
26,509,0.06666666666666667
26,220,0.001466275659824047
26,511,0.003236245954692557
26,515,0.007194244604316547
26,517,0.010869565217391304
26,519,0.0024937655860349127
26,520,0.0078125
26,523,0.009708737864077669
26,323,0.0020876826722338203
26,524,0.16666666666666666
26,529,0.0024390243902439024
26,531,0.010638297872340425
26,533,0.005988023952095809
26,536,0.03333333333333333
26,537,0.047619047619047616
26,541,0.047619047619047616
26,542,0.005154639175257732
26,543,0.018518518518518517
26,547,0.010101010101010102
26,548,0.005291005291005291
26,549,0.022727272727272728
26,550,0.007575757575757576
26,356,0.005128205128205128
26,554,0.004672897196261682
26,555,0.012195121951219513
26,557,0.011764705882352941
26,561,0.014285714285714285
26,563,0.02631578947368421
26,565,0.01694915254237288
26,72,0.010869565217391304
26,572,0.006172839506172839
26,577,0.012048192771084338
26,580,0.021739130434782608
26,581,0.007246376811594203
26,330,0.0027624309392265192
26,582,0.038461538461538464
26,600,0.010869565217391304
134,2,0.0045871559633027525
134,26,0.0028011204481792717
134,984,0.013333333333333334
134,27,0.0028089887640449437
134,99,0.007874015748031496
134,3,0.07142857142857142
134,985,0.0625
134,987,0.0038910505836575876
134,360,0.012658227848101266
134,989,0.015873015873015872
134,623,0.0125
134,863,0.045454545454545456
134,4,0.002145922746781116
134,990,0.043478260869565216
134,77,0.0070921985815602835
134,992,0.01098901098901099
134,32,0.003067484662576687
134,175,0.01282051282051282
134,994,0.00558659217877095
134,995,0.007042253521126761
134,996,0.009523809523809525
134,334,0.018518518518518517
134,998,0.004
134,999,0.020833333333333332
134,34,0.003952569169960474
134,1002,0.03571428571428571
134,291,0.0037735849056603774
134,721,0.005494505494505495
134,1009,0.017543859649122806
134,1010,0.041666666666666664
134,140,0.010869565217391304
134,206,0.0010121457489878543
134,6,0.0015060240963855422
134,372,0.016129032258064516
134,373,0.004291845493562232
134,374,0.008928571428571428
134,1014,0.02
134,39,0.00392156862745098
134,1016,0.017543859649122806
134,1024,0.043478260869565216
134,295,0.022727272727272728
134,1026,0.02564102564102564
134,1031,0.016129032258064516
134,1035,0.014925373134328358
134,1037,0.008928571428571428
134,1040,0.021739130434782608
134,10,0.003067484662576687
134,1042,0.0070921985815602835
134,1043,0.014925373134328358
134,145,0.024390243902439025
