node,ic_mean,ic_std
12882,42.315,75.76652146561831
12909,17.25,56.201579159308324
12915,26.14,53.944975669658064
12929,48.065,81.62965622247836
12961,18.165,45.86379590701144
12970,1.0,0.0
13006,20.735,34.87255045160878
13082,1.395,4.698826981279478
13118,1.01,0.14106735979665885
13205,19.05,62.02844105730855
13229,7.005,15.942865959418965
13234,5.25,13.98061157460574
13383,22.57,59.23685592601957
13425,21.095,46.67832446650158
13543,6.33,23.136574940988996
13556,24.665,61.65973382200089
13609,33.925,55.454029384707475
13620,12.27,26.26532124303832
13627,1.6,2.7276363393971708
13640,1.175,0.7774155902733108
13644,9.235,22.176333669026533
13659,16.405,40.25321074150484
13662,22.285,51.36831489352167
13668,9.29,25.73239009497563
13707,1.0,0.0
13763,3.46,10.890748367306996
13813,5.96,28.666154258986328
13820,43.805,81.17300644302884
13879,6.29,19.08810886389744
13894,1.45,3.9821476617523865
13903,7.79,30.81892113621111
13920,17.82,42.11279615508807
14178,1.845,1.345724711818877
14368,2.32,8.67223154672429
14486,26.165,59.115376806715865
14553,1.33,1.442601816164114
14590,4.735,12.110110445408827
14723,6.145,20.39029119458572
14790,10.235,34.004261130040746
14825,24.77,56.11895490830171
14859,5.96,15.8741424965256
14975,3.99,34.4174359881732
14992,1.58,2.5619523805098336
15067,14.815,43.250442483285646
15182,7.905,28.541653333330217
15260,7.37,13.986532808383927
15349,17.765,38.70671485672738
15518,8.865,39.8701238397876
15595,6.195,17.625747501879175
15759,18.095,42.750157602048674
15783,23.96,51.976806365916715
15835,58.485,73.295564497451
15846,16.285,61.98276998489177
16078,5.75,22.771857631734836
16107,34.23,75.92632679117304
16108,20.145,38.61222571932367
16164,8.39,28.332629599103576
16188,3.75,19.396069189400208
16221,20.28,44.86213994004298
16442,2.3,2.41039415863879
16539,4.825,33.95444558522491
16598,22.88,61.24292285644113
16872,14.45,34.687858106259604
16877,1.435,4.826569692856408
16883,6.35,18.130843885489725
16953,23.55,51.35764305339566
16974,19.41,45.15265108495845
16976,12.715,38.51303383271694
16986,10.835,32.69293157549503
17030,16.735,32.670242958998635
17175,23.285,58.718598203635615
17242,5.135,12.58676983979607
17260,5.475,13.750613622671537
17333,20.96,49.41010422980303
17355,8.2,43.33151278226968
17508,81.395,110.5327054540872
17511,18.69,52.37961340063517
17528,9.735,39.71177123977222
17575,3.96,8.373075898378087
17665,6.04,25.892052834798555
17885,7.83,32.20094874378704
17921,11.205,34.709119478892
